"","X","user_id","name","review_count","yelping_since","yelping_since_year","useful","funny","cool","elite","first_elite","nyears_elite","number_friends","fans","average_stars","compliment_hot","compliment_cool","compliment_more","compliment_cute","compliment_profile","compliment_list","compliment_note","compliment_plain","compliment_funny","compliment_writer","compliment_photos","ntips","tips_length_med","negtips","postips","firsttip","secondtip","lasttip","compliment_count_tips","avg_rest_stars","range_long","range_lat","ntips2005","ntips2006","ntips2007","ntips2008","ntips2009","ntips2010","ntips2011","ntips2012","ntips2013","ntips2014","ntips2015","ntips2016","ntips2017","ntips2018","nreviews","review_length_med","negreviews","posreviews","stars1","stars2","stars3","stars4","stars5","firstrev","secondrev","lastrev","avg_rest_stars_rev","range_long_rev","range_lat_rev","nreviews2005","nreviews2006","nreviews2007","nreviews2008","nreviews2009","nreviews2010","nreviews2011","nreviews2012","nreviews2013","nreviews2014","nreviews2015","nreviews2016","nreviews2017","nreviews2018"
"1580",6162,"G5BqF32PyIQ5IvplDvpKnA","Colin",230,"2010-03-06",2010,251,100,95,1,2011,4,57,10,3.79,11,28,6,0,2,0,8,12,28,16,0,20,31.5,4,16,"2010-08-23","2010-09-05","2016-05-10",0,3.5,0.150193633100002,0.171843000000003,0,0,0,0,0,5,2,4,6,2,0,1,0,0,16,591.5,1,15,3,0,3,7,3,"2010-03-25","2010-03-26","2014-02-28",3.40625,0.153392933100008,0.0690172309999966,0,0,0,0,0,4,4,1,5,2,0,0,0,0
"895",20472,"GDBn6Gf4L9vgkHW43okaxw","Liz And Ryan",166,"2008-12-29",2008,174,54,81,0,NA,0,93,8,4.43,10,35,5,0,0,0,24,37,35,3,10,35,75,2,33,"2010-08-22","2010-08-23","2017-11-28",2,3.98571428571429,3.49475509999999,2.7603791,0,0,0,0,0,18,5,5,3,0,0,3,1,0,1,50,0,1,0,1,0,0,0,"2012-09-13",NA,"2012-09-13",2.5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"1589",7551,"u4JhbOgkqMa8on8UktsMNA","E Paul",133,"2010-09-06",2010,94,23,43,1,2016,3,63,6,4.39,0,3,1,0,0,0,3,2,3,2,2,126,78.5,12,113,"2010-09-08","2010-09-12","2018-10-13",1,3.75396825396825,3.30396400000001,2.7429778728,0,0,0,0,0,4,0,36,33,12,8,12,17,4,15,170,0,15,0,0,0,8,7,"2010-09-08","2010-09-13","2018-05-30",3.63333333333333,0.151691982300008,0.0770278707000003,0,0,0,0,0,2,0,0,0,2,5,1,4,1
"451",7901,"FOGtprr8r1uEaB1lk2jC_A","Lisa",30,"2009-07-17",2009,44,7,2,0,NA,0,6,3,4.03,0,5,1,0,0,0,1,0,5,1,0,2,27,0,2,"2013-11-07","2015-09-27","2015-09-27",0,4,0.0645490999999936,0.137044600000003,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3,403,0,3,0,1,1,1,0,"2009-07-21","2012-05-04","2014-06-16",2.83333333333333,0.0330925967000013,0.0152520598999999,0,0,0,0,1,0,0,1,0,1,0,0,0,0
"134",10219,"a7ptfks3ItInKzRoKixx3Q","Sue",77,"2010-09-09",2010,160,39,34,0,NA,0,5,1,3.25,0,0,0,0,0,0,3,4,0,0,0,2,42.5,1,1,"2013-10-31","2017-04-12","2017-04-12",0,4,0.0433325999999994,0.0252814000000043,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,423,0,2,0,0,1,0,1,"2017-03-30","2017-04-05","2017-04-05",3.75,0.0076386999999869,0.00484269999999754,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"971",20462,"SoSPi148-fHHATTHyDnZRg","John",3,"2010-11-08",2010,4,0,0,0,NA,0,13,0,5,0,0,0,0,0,0,0,0,0,0,0,2,36,0,2,"2014-06-29","2018-02-11","2018-02-11",0,4,0.109308171099997,0.0685494944999974,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,125,0,1,0,0,0,0,1,"2011-01-15",NA,"2011-01-15",5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"44",26772,"vBw4MQZiMlOEqe9isvypsw","Laurie",3,"2010-07-09",2010,2,0,0,0,NA,0,1,0,2.75,0,0,0,0,0,0,0,0,0,0,0,1,41,0,1,"2018-02-05",NA,"2018-02-05",0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,124,0,1,1,0,0,0,0,"2018-07-21",NA,"2018-07-21",1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1722",14539,"xSI4zpl9EaETOHyzshOIBw","Ashley",369,"2010-04-05",2010,825,301,372,1,2010,6,350,28,3.99,25,75,8,1,4,2,32,70,75,31,5,2,35,0,2,"2010-12-04","2010-12-04","2010-12-04",0,4.25,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,958,0,2,0,0,0,0,2,"2010-12-14","2016-01-09","2016-01-09",3.5,34.053261765,0.922765797000004,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"1542",5635,"6OsqYvCScSAcqP9jQcOAlA","M",71,"2007-06-28",2007,70,20,24,0,NA,0,234,10,3.62,6,4,2,2,0,0,1,1,4,1,2,64,26.5,6,58,"2010-12-20","2010-12-20","2017-01-27",0,3.71875,34.4319609611,1.0756286,0,0,0,0,0,8,24,31,0,0,0,0,1,0,7,521,0,7,0,0,1,3,3,"2011-08-04","2011-08-05","2018-05-16",4.21428571428571,0.279038908899992,0.263771899999995,0,0,0,0,0,0,2,0,0,1,0,0,3,1
"525",24898,"XkkkdGMYWHmSuKgvL1Rk6Q","Ricardo",93,"2010-12-12",2010,67,26,20,0,NA,0,11,3,3.64,1,0,2,0,0,0,0,2,0,1,0,4,33.5,0,4,"2010-12-25","2011-01-29","2013-01-20",0,3.375,0.0627049560999922,0.0451126095000021,0,0,0,0,0,1,2,0,1,0,0,0,0,0,2,270.5,0,2,0,2,0,0,0,"2011-08-05","2011-08-11","2011-08-11",3.75,0.000119884800000136,0.0207365887999984,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"710",1464,"iqhra1MRbjLWxrTkw4yqkA","Zach",257,"2009-09-02",2009,473,170,132,1,2011,4,75,5,3.72,14,28,3,0,0,0,13,12,28,6,1,9,34,1,8,"2011-02-28","2011-03-14","2014-03-08",0,3.77777777777778,0.181980039999999,0.188703373300001,0,0,0,0,0,0,3,3,2,1,0,0,0,0,11,489,0,11,1,3,1,4,2,"2011-06-12","2011-06-28","2015-01-11",3.5,1.7068170533,0.960682308099997,0,0,0,0,0,0,3,4,1,2,1,0,0,0
"632",18337,"UAULEDfAO5LMZh5l4bIVJw","Michael",52,"2009-12-18",2009,17,7,0,0,NA,0,23,0,3.21,0,1,0,0,0,0,2,1,1,0,0,7,54,3,4,"2014-12-14","2015-07-14","2018-03-02",0,3.92857142857143,0.0597589999999997,0.0473376999999999,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,103.5,0,2,0,1,0,1,0,"2015-01-29","2015-03-27","2015-03-27",4,0.0111815000000064,0.00513310000000189,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"1156",1926,"vWkpBLhCHbnKhpGVEjysnQ","Kate",25,"2010-06-01",2010,86,30,41,0,NA,0,220,6,4.5,12,14,1,0,0,0,16,30,14,4,0,43,47,4,39,"2010-11-30","2010-11-30","2018-01-03",0,3.56976744186047,40.552862936,5.6667373647,0,0,0,0,0,19,15,6,2,0,0,0,0,1,3,1253,0,3,0,0,0,1,2,"2010-12-03","2010-12-03","2011-01-25",4.5,0.1685642355,0.160318043499998,0,0,0,0,0,2,1,0,0,0,0,0,0,0
"308",9808,"ZjK5fVTe0skKTSWUMGaQxQ","Robert",9,"2010-01-14",2010,27,3,11,0,NA,0,4,2,4.56,0,0,0,0,0,0,0,1,0,1,0,12,59.5,1,11,"2011-09-17","2011-09-20","2013-11-23",1,3.66666666666667,0.184156114899992,0.1924946647,0,0,0,0,0,0,5,5,2,0,0,0,0,0,1,525,0,1,0,0,0,0,1,"2011-10-04",NA,"2011-10-04",4.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"1228",13486,"vhNJa8QzWsyy3s7Azd3HEw","Jaimie",120,"2009-06-03",2009,74,31,32,0,NA,0,610,4,3.15,3,6,0,1,0,0,1,6,6,6,0,22,29.5,5,17,"2011-06-25","2011-09-17","2016-04-03",0,3.43181818181818,0.195839658300002,0.224618599999999,0,0,0,0,0,0,7,2,0,7,4,2,0,0,3,337,0,3,0,1,0,2,0,"2015-07-15","2015-07-22","2015-12-24",4,0.0154655999999989,0.111074000000002,0,0,0,0,0,0,0,0,0,0,3,0,0,0
"1048",11415,"yeFK1Wc2ki4R-UP348LhuQ","Kim",34,"2010-10-09",2010,30,2,6,0,NA,0,1,0,3.95,0,0,0,0,0,0,0,0,0,0,0,4,125,0,4,"2015-08-18","2018-02-18","2018-06-14",0,3.125,0.118092200000007,0.107826299999999,0,0,0,0,0,0,0,0,0,0,1,0,0,3,4,172,0,4,1,0,0,0,3,"2014-08-03","2014-11-18","2018-06-12",3.25,0.146858199999997,0.1737118,0,0,0,0,0,0,0,0,0,3,0,0,0,1
"996",11815,"jvXUinTFGjsAjgXpFnyDMQ","NANCY",12,"2009-10-12",2009,33,3,6,0,NA,0,1,1,2.83,0,0,0,0,0,0,0,0,0,0,0,1,17,0,1,"2011-08-04",NA,"2011-08-04",0,3.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,562,0,1,0,0,0,0,1,"2018-08-05",NA,"2018-08-05",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1093",4541,"l752cAf0DW4S1XWL1Auh5w","Jessica",337,"2009-10-22",2009,523,182,239,0,NA,0,204,15,3.99,4,7,1,0,1,0,6,9,7,3,2,3,42,1,2,"2017-05-15","2017-05-15","2017-05-15",0,3.66666666666667,0.00878017889999683,0.0080217475999973,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,407,0,1,0,0,0,1,0,"2017-05-15",NA,"2017-05-15",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"239",24068,"lZ2qzNrP3m5L3Vbdb6DVdg","Dilly",184,"2009-02-11",2009,337,62,53,1,2010,2,30,10,3.29,1,9,2,0,0,0,9,5,9,1,1,3,35,1,2,"2013-05-30","2014-04-27","2017-05-28",0,3.83333333333333,0.030929306200008,0.0686145558999982,0,0,0,0,0,0,0,0,1,1,0,0,1,0,2,417.5,1,1,1,0,0,0,1,"2010-10-16","2016-04-11","2016-04-11",3.75,0.00754046640000183,0.0108883305999967,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"1070",5999,"66cm1WaLDSTgTFZIh1yrjQ","Corey",40,"2009-10-03",2009,28,19,9,0,NA,0,27,1,4.05,0,0,0,0,0,0,1,0,0,1,0,2,93.5,0,2,"2014-03-06","2017-09-26","2017-09-26",0,3,0.0564482999999996,0.139075699999999,0,0,0,0,0,0,0,0,0,1,0,0,1,0,5,367,0,5,1,0,0,1,3,"2014-01-02","2014-10-12","2016-05-30",3.6,0.104882500000002,0.283821798800005,0,0,0,0,0,0,0,0,0,3,1,1,0,0
"1655",14426,"0LQSY9s-pTcIfRx3C9vB7Q","Imran",190,"2009-05-05",2009,255,197,86,1,2011,3,20,4,3.48,10,9,1,0,0,0,4,7,9,5,0,1,56,0,1,"2010-10-30",NA,"2010-10-30",0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,296,1,6,0,2,2,1,2,"2010-07-12","2010-10-29","2011-04-07",4.35714285714286,0.310041200000001,0.136538199999997,0,0,0,0,0,4,3,0,0,0,0,0,0,0
"1109",18265,"6OGq1k2r75dOmcQ4LxBTqw","Trisha",41,"2009-03-16",2009,38,11,5,0,NA,0,10,1,3.76,0,1,0,0,0,0,1,2,1,0,0,6,63.5,2,4,"2012-10-06","2012-10-26","2014-07-10",0,3.58333333333333,0.164857199999986,0.138917636899997,0,0,0,0,0,0,0,2,3,1,0,0,0,0,5,264,1,4,1,1,0,2,1,"2012-10-26","2012-10-26","2014-12-07",3.4,0.29055559999999,0.154657800000003,0,0,0,0,0,0,0,2,0,3,0,0,0,0
"894",10649,"51nhzFGxZVMplEX2G3Lnhw","Ellen",19,"2010-01-04",2010,17,5,11,0,NA,0,3,0,4.81,1,0,0,0,0,0,1,0,0,1,1,2,49.5,0,2,"2010-01-15","2010-01-16","2010-01-16",0,2.75,0.0738734549999975,0.0715856759000033,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,608,0,5,0,0,0,0,5,"2014-01-06","2015-04-03","2017-09-22",3.8,0.113443575100007,0.1458504784,0,0,0,0,0,0,0,0,0,1,1,2,1,0
"1779",24881,"NdT3Ds7a5mfkb071UfjjLw","Patterson",25,"2010-07-06",2010,4,0,0,0,NA,0,15,0,4.27,0,0,0,0,0,0,1,0,0,0,0,2,56.5,0,2,"2016-09-07","2017-02-20","2017-02-20",0,4,0.0086619327999955,0.0162889563000022,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,315,0,1,0,0,0,0,1,"2017-06-06",NA,"2017-06-06",4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"18",7355,"3I2wGF73UOPMuwSuzMCYWQ","Aaron",118,"2009-07-27",2009,81,36,31,1,2013,1,121,5,3.95,2,3,1,0,0,0,2,1,3,1,1,1,29,0,1,"2013-09-28",NA,"2013-09-28",0,3.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,246,0,8,0,0,1,2,5,"2012-06-10","2012-07-17","2013-08-23",4,1.7207891833,1.04346,0,0,0,0,0,0,0,6,2,0,0,0,0,0
"233",163,"9MlXWEHFygj13lofK5KC8A","Meghan",88,"2010-03-05",2010,65,19,32,0,NA,0,66,4,4.12,1,2,0,1,0,0,1,1,2,0,0,2,70,0,2,"2013-01-13","2013-06-13","2013-06-13",0,3.5,0.444862000000001,0.244936000000003,0,0,0,0,0,0,0,0,2,0,0,0,0,0,7,702,0,7,0,1,1,2,3,"2013-01-04","2013-02-23","2013-08-18",3.85714285714286,0.129062700000006,0.157636239000006,0,0,0,0,0,0,0,0,7,0,0,0,0,0
"618",8194,"xSBz7p2Kq997Zv26iKq9TQ","Jessi",26,"2010-10-26",2010,24,6,6,0,NA,0,28,1,4.62,0,0,1,0,0,0,1,1,0,0,0,2,38,0,2,"2011-10-05","2014-04-12","2014-04-12",0,3.5,0.130191699999997,0.0242980999999958,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,358,0,2,0,0,0,1,1,"2014-04-25","2016-06-22","2016-06-22",3.25,0.116660600700001,0.0899516523999964,0,0,0,0,0,0,0,0,0,1,0,1,0,0
"410",2495,"JH-Pne0O_W6kx_bYlcqgWA","Anabelle",3,"2010-09-04",2010,15,0,6,0,NA,0,148,0,5,0,0,0,0,0,0,0,0,0,0,0,1,31,0,1,"2015-10-15",NA,"2015-10-15",0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,332,0,1,0,0,0,0,1,"2017-04-11",NA,"2017-04-11",4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"202",26614,"9wguNnzhmEJe_AAvTwK71g","Shirley Mina",222,"2009-08-02",2009,249,100,135,1,2009,3,92,17,3.81,25,44,1,2,1,2,13,24,44,6,7,1,44,0,1,"2011-08-30",NA,"2011-08-30",0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,248,0,1,0,0,0,1,0,"2011-09-06",NA,"2011-09-06",4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"244",6867,"v_UPigA-TtxSQ8Q8QBAByA","Shesten",19,"2010-03-05",2010,47,11,8,0,NA,0,22,1,3.55,0,0,1,0,0,0,1,1,0,0,0,1,7,0,1,"2011-07-09",NA,"2011-07-09",0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1147,0,2,1,0,0,1,0,"2010-03-05","2010-07-11","2010-07-11",3.25,0.033995499999989,0.0390682000000027,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"389",22260,"DkC05G4w7jsrdCH_BAnlrA","Eddie",15,"2009-04-21",2009,106,10,12,0,NA,0,29,2,3.24,0,0,0,0,0,0,0,0,0,0,0,12,56.5,0,12,"2011-02-21","2011-02-26","2015-09-27",0,3.95833333333333,0.220498818900012,0.164819199999997,0,0,0,0,0,0,8,2,0,1,1,0,0,0,3,1026,0,3,1,0,1,0,1,"2013-12-05","2014-08-14","2014-09-10",3.33333333333333,0.0227749999999958,0.0456220000000016,0,0,0,0,0,0,0,0,1,2,0,0,0,0
"1800",24425,"qHU3t4oq2lU0kSNtadh7ew","William",204,"2010-09-10",2010,263,96,46,0,NA,0,30,4,3.28,0,0,0,0,0,0,4,3,0,2,1,2,31.5,0,2,"2011-08-20","2012-11-15","2012-11-15",0,4,0.1293489217,0.0611892673000014,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,171,0,1,0,0,1,0,0,"2017-01-05",NA,"2017-01-05",3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"433",26104,"hVhXQW-h5YQITB4j57bd4A","J",8,"2010-03-06",2010,19,7,2,0,NA,0,1,0,4.2,0,0,0,0,0,0,0,0,0,0,0,2,50,0,2,"2013-05-19","2013-06-30","2013-06-30",0,4.5,0.11021382989999,0.0669909892999954,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1049,1,0,1,0,0,0,0,"2010-03-06",NA,"2010-03-06",3.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"712",3871,"DZ44749Faw9RT9NbgHYz8A","Kelly",55,"2010-12-04",2010,214,68,93,1,2011,3,189,10,4.12,10,16,1,1,0,0,9,18,16,11,2,87,55,6,81,"2011-08-28","2011-10-14","2017-12-30",0,3.86206896551724,0.612497500000003,0.5716337904,0,0,0,0,0,0,2,32,34,12,5,0,2,0,8,635.5,0,8,0,0,2,4,2,"2010-12-08","2011-02-17","2011-05-15",3.6875,0.449699899999999,0.2058599,0,0,0,0,0,1,7,0,0,0,0,0,0,0
"1954",16458,"oGBR461l8FR30W9MIXLuxw","Dede",12,"2010-09-12",2010,61,6,3,0,NA,0,17,0,4.08,1,2,1,0,0,0,3,2,2,0,0,2,19,0,2,"2010-09-19","2010-11-17","2010-11-17",0,3.75,0.0326088363999872,0.0286419779000013,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,132,0,2,0,0,0,0,2,"2010-09-13","2010-09-15","2010-09-15",3.25,0.265755900000002,0.074148000000001,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"1041",16681,"GS_FMXIHPTvG2GF7NU2bRQ","James",18,"2008-08-22",2008,23,9,9,0,NA,0,53,0,3.55,0,0,0,1,0,0,1,0,0,0,0,1,39,0,1,"2011-02-09",NA,"2011-02-09",0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,186,0,1,0,0,0,0,1,"2010-09-24",NA,"2010-09-24",3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"72",11855,"pBBLBniXMCLFG5TSvBdhbg","Shawn",41,"2010-02-14",2010,62,10,6,0,NA,0,1,1,4.02,0,0,0,0,0,0,0,0,0,0,0,1,68,0,1,"2015-07-03",NA,"2015-07-03",0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,148,1,6,1,0,0,1,5,"2015-07-03","2015-07-03","2018-05-29",3.64285714285714,0.353134501100001,0.225042600000002,0,0,0,0,0,0,0,0,0,0,4,2,0,1
"514",2993,"gvuvcjAVl1ElyXTgU80VRg","Vince",360,"2009-01-18",2009,582,332,286,1,2011,8,276,28,3.58,11,17,2,0,2,1,10,9,17,7,0,13,28,1,12,"2011-01-04","2011-04-01","2012-10-29",0,3.69230769230769,0.126420999999993,0.1160961,0,0,0,0,0,0,10,3,0,0,0,0,0,0,14,532.5,1,13,1,0,9,2,2,"2010-07-21","2010-07-25","2014-06-29",4,0.121623899999989,0.154218100000001,0,0,0,0,0,4,3,6,0,1,0,0,0,0
"678",11897,"1717bIJc6zcuIY_QwpMrSw","Melissa",12,"2010-10-11",2010,22,2,4,0,NA,0,1,0,3.23,0,0,0,0,0,0,1,0,0,0,0,1,57,0,1,"2015-11-13",NA,"2015-11-13",0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,615,2,2,2,0,0,1,1,"2016-09-09","2017-06-23","2017-07-21",2.75,0.191043000000008,0.187182999999997,0,0,0,0,0,0,0,0,0,0,0,1,3,0
"485",17520,"NQl1JNUAMtDEH-8UU7IF2g","Aaron",17,"2009-03-13",2009,25,2,2,0,NA,0,30,2,4,1,2,0,0,0,0,1,0,2,0,0,2,167,0,2,"2013-04-02","2013-04-02","2013-04-02",0,3.25,0.00045400489999281,6.59455999993952e-05,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,590,0,2,0,0,1,1,0,"2012-07-06","2013-04-02","2013-04-02",3,0.00800989319999701,0.00181688339999653,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"918",7362,"9GeadGsV2m1JVHundQx81A","Janet",4,"2010-11-26",2010,11,4,4,0,NA,0,21,1,3.33,0,0,1,0,0,0,1,0,0,0,0,1,30,0,1,"2015-03-20",NA,"2015-03-20",0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,382.5,0,2,0,0,0,0,2,"2014-04-04","2015-03-20","2015-03-20",4,0.0379013774999919,0.0197515453999983,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"288",11615,"kLkoY8Ibq56-b8amU2CtgA","Wi",148,"2010-03-06",2010,67,24,25,0,NA,0,1,1,4.01,0,1,0,0,0,0,0,1,1,0,0,1,68,0,1,"2017-08-19",NA,"2017-08-19",0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,24,221.5,3,21,6,1,1,1,15,"2015-06-21","2015-08-23","2018-07-29",3.89583333333333,3.444285935,2.8217498337,0,0,0,0,0,0,0,0,0,0,2,14,6,2
